,original_show,original_wikiurl,remake_show,remake_wikiurl,original_country,remake_country,original_imdburl,remake_imdburl,original_imdb-score,original_imdb-nvotes,original_imdb-nseasons,remake_imdb-score,remake_imdb-nvotes,remake_imdb-nseasons
78,Takeshi's Castle,https://en.wikipedia.org/wiki/Takeshi%27s_Castle,MXC,https://en.wikipedia.org/wiki/Most_Extreme_Elimination_Challenge,Japan,United States,{'https://www.imdb.com/title/tt0375466/'},{'https://www.imdb.com/title/tt0364843/'},8.2,1407.0,1.0,8.7,2934.0,5.0
79,Teachers,https://en.wikipedia.org/wiki/Teachers_(UK_TV_series),Teachers,https://en.wikipedia.org/wiki/Teachers_(2006_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0280330/'},{'https://www.imdb.com/title/tt0494188/'},7.8,3315.0,4.0,6.9,532.0,1.0
80,Thank God You're Here,https://en.wikipedia.org/wiki/Thank_God_You%27re_Here,Thank God You're Here,https://en.wikipedia.org/wiki/Thank_God_You%27re_Here_(U.S._TV_series),Australia,United States,{'https://www.imdb.com/title/tt0809816/'},{'https://www.imdb.com/title/tt0983782/'},7.7,1128.0,4.0,6.1,572.0,1.0
81,The 1900 House,https://en.wikipedia.org/wiki/The_1900_House,Frontier House,https://en.wikipedia.org/wiki/Frontier_House,United Kingdom,United States,{'https://www.imdb.com/title/tt0250838/'},{'https://www.imdb.com/title/tt0320010/'},7.9,336.0,1.0,8.4,468.0,1.0
82,The Chase,https://en.wikipedia.org/wiki/The_Chase_(UK_game_show),The Chase,https://en.wikipedia.org/wiki/The_Chase_(U.S._game_show),United Kingdom,United States,{'https://www.imdb.com/title/tt1502749/'},{'https://www.imdb.com/title/tt3077336/'},7.0,1810.0,14.0,7.4,775.0,5.0
83,The Fall and Rise of Reginald Perrin,https://en.wikipedia.org/wiki/The_Fall_and_Rise_of_Reginald_Perrin,Reggie,https://en.wikipedia.org/wiki/Reggie_(TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt0073990/', 'https://www.imdb.com/title/tt0115242/'}",{'https://www.imdb.com/title/tt0085076/'},7.45,907.0,2.0,5.3,20.0,1.0
84,The Inbetweeners,https://en.wikipedia.org/wiki/The_Inbetweeners,The Inbetweeners,https://en.wikipedia.org/wiki/The_Inbetweeners_(U.S._TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt1716772/', 'https://www.imdb.com/title/tt1220617/'}",{'https://www.imdb.com/title/tt1798695/'},7.550000000000001,80853.5,,3.0,4327.0,1.0
85,The Krypton Factor,https://en.wikipedia.org/wiki/The_Krypton_Factor,The Krypton Factor,https://en.wikipedia.org/wiki/The_Krypton_Factor_(U.S._game_show),United Kingdom,United States,"{'https://www.imdb.com/title/tt0235127/', 'https://www.imdb.com/title/tt1333810/'}",{'https://www.imdb.com/title/tt0198166/'},6.55,55.5,10.0,6.8,21.0,
86,The Million Pound Drop,https://en.wikipedia.org/wiki/The_Million_Pound_Drop,Million Dollar Money Drop,https://en.wikipedia.org/wiki/Million_Dollar_Money_Drop,United Kingdom,United States,{'https://www.imdb.com/title/tt1770445/'},{'https://www.imdb.com/title/tt1770087/'},5.8,91.0,5.0,5.4,79.0,1.0
87,The Million Pound Drop Live,https://en.wikipedia.org/wiki/The_%C2%A3100K_Drop,Million Dollar Money Drop,https://en.wikipedia.org/wiki/Million_Dollar_Money_Drop,United Kingdom,United States,{'https://www.imdb.com/title/tt1770445/'},{'https://www.imdb.com/title/tt1770087/'},5.8,91.0,5.0,5.4,79.0,1.0
88,The Office,https://en.wikipedia.org/wiki/The_Office_(UK_TV_series),The Office,https://en.wikipedia.org/wiki/The_Office_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0290978/'},{'https://www.imdb.com/title/tt0386676/'},8.5,102050.0,3.0,8.9,450025.0,9.0
89,The Returned,https://en.wikipedia.org/wiki/Les_Revenants_(TV_series),The Returned,https://en.wikipedia.org/wiki/The_Returned_(U.S._TV_series),France,United States,{'https://www.imdb.com/title/tt2521668/'},{'https://www.imdb.com/title/tt3230780/'},8.1,19764.0,2.0,7.1,11544.0,1.0
90,The Secret Millionaire,https://en.wikipedia.org/wiki/The_Secret_Millionaire,Secret Millionaire,https://en.wikipedia.org/wiki/The_Secret_Millionaire#US_version,United Kingdom,United States,"{'https://www.imdb.com/title/tt1235101/', 'https://www.imdb.com/title/tt0910472/'}","{'https://www.imdb.com/title/tt1235101/', 'https://www.imdb.com/title/tt0910472/'}",7.1,101.0,10.0,6.3,275.0,3.0
91,The Slap,https://en.wikipedia.org/wiki/The_Slap_(TV_series),The Slap,https://en.wikipedia.org/wiki/The_Slap_(U.S._miniseries),Australia,United States,{'https://www.imdb.com/title/tt1823011/'},{'https://www.imdb.com/title/tt3476576/'},7.6,2425.0,1.0,6.1,3341.0,1.0
92,The Tomorrow People,https://en.wikipedia.org/wiki/The_Tomorrow_People,The Tomorrow People (U.S. TV series),https://en.wikipedia.org/wiki/The_Tomorrow_People_(U.S._TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt2660734/', 'https://www.imdb.com/title/tt0069647/', 'https://www.imdb.com/title/tt0103568/'}",{'https://www.imdb.com/title/tt2660734/'},7.35,495.0,5.5,7.2,34570.0,1.0
93,The Weakest Link,https://en.wikipedia.org/wiki/The_Weakest_Link_(UK_game_show),Weakest Link,https://en.wikipedia.org/wiki/The_Weakest_Link_(U.S._game_show),United Kingdom,United States,{'https://www.imdb.com/title/tt0268862/'},"{'https://www.imdb.com/title/tt0326712/', 'https://www.imdb.com/title/tt0281521/', 'https://www.imdb.com/title/tt12688394/'}",5.6,1612.0,13.0,6.033333333333334,583.6666666666666,2.0
94,The Worst Week of My Life,https://en.wikipedia.org/wiki/The_Worst_Week_of_My_Life,Worst Week,https://en.wikipedia.org/wiki/Worst_Week,United Kingdom,United States,{'https://www.imdb.com/title/tt0401995/'},{'https://www.imdb.com/title/tt1197632/'},8.0,1704.0,3.0,7.6,2494.0,1.0
95,The X Factor,https://en.wikipedia.org/wiki/The_X_Factor_(UK_TV_series),The X Factor,https://en.wikipedia.org/wiki/The_X_Factor_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0423776/'},{'https://www.imdb.com/title/tt1582461/'},4.4,4493.0,18.0,5.0,5774.0,3.0
96,The X Factor,https://en.wikipedia.org/wiki/The_X_Factor_(UK),The X Factor,https://en.wikipedia.org/wiki/The_X_Factor_(US),United Kingdom,United States,{'https://www.imdb.com/title/tt0423776/'},{'https://www.imdb.com/title/tt1582461/'},4.4,4493.0,18.0,5.0,5774.0,3.0
97,The Young Person's Guide to Becoming a Rock Star,https://en.wikipedia.org/wiki/The_Young_Person%27s_Guide_to_Becoming_a_Rock_Star,My Guide to Becoming a Rock Star[5],https://en.wikipedia.org/wiki/My_Guide_to_Becoming_a_Rock_Star,United Kingdom,United States,{'https://www.imdb.com/title/tt0178167/'},{'https://www.imdb.com/title/tt0285416/'},8.2,261.0,1.0,7.8,65.0,1.0
98,This Life,https://en.wikipedia.org/wiki/This_Life_(1996_TV_series),First Years[4],https://en.wikipedia.org/wiki/First_Years,United Kingdom,United States,{'https://www.imdb.com/title/tt0115390/'},{'https://www.imdb.com/title/tt0278195/'},8.5,2126.0,2.0,6.4,27.0,1.0
99,Thomas & Friends,https://en.wikipedia.org/wiki/Thomas_%26_Friends,Shining Time Station,https://en.wikipedia.org/wiki/Shining_Time_Station,United Kingdom,United States,{'https://www.imdb.com/title/tt0086815/'},{'https://www.imdb.com/title/tt0098910/'},6.6,4063.0,25.0,7.9,611.0,3.0
100,Till Death Us Do Part,https://en.wikipedia.org/wiki/Till_Death_Us_Do_Part,All in the Family,https://en.wikipedia.org/wiki/All_in_the_Family,United Kingdom,United States,{'https://www.imdb.com/title/tt0060035/'},"{'https://www.imdb.com/title/tt0509928/', 'https://www.imdb.com/title/tt0066626/'}",7.3,832.0,7.0,9.2,192.0,
101,Top Gear,https://en.wikipedia.org/wiki/Top_Gear_(2002_TV_series),Top Gear,https://en.wikipedia.org/wiki/Top_Gear_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt1628033/'},{'https://www.imdb.com/title/tt1657260/'},8.6,110923.0,30.0,5.4,5839.0,6.0
102,Two's Company,https://en.wikipedia.org/wiki/Two%27s_Company_(British_TV_series),The Two of Us,https://en.wikipedia.org/wiki/The_Two_of_Us_(1981_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0072577/'},{'https://www.imdb.com/title/tt0081953/'},8.0,213.0,4.0,7.2,45.0,2.0
103,Undercover Boss,https://en.wikipedia.org/wiki/Undercover_Boss_(UK_TV_series),Undercover Boss,https://en.wikipedia.org/wiki/Undercover_Boss_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt1717534/'},{'https://www.imdb.com/title/tt1442553/'},6.0,71.0,6.0,5.8,3253.0,10.0
104,"Upstairs, Downstairs","https://en.wikipedia.org/wiki/Upstairs,_Downstairs_(1971_TV_series)",Beacon Hill,https://en.wikipedia.org/wiki/Beacon_Hill_(TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0066722/'},{'https://www.imdb.com/title/tt0072474/'},8.4,2805.0,5.0,7.4,42.0,1.0
105,Utopia,https://en.wikipedia.org/wiki/Utopia_(British_TV_series),Utopia,https://en.wikipedia.org/wiki/Utopia_(2020_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt2384811/'},{'https://www.imdb.com/title/tt8303474/'},8.4,42866.0,2.0,6.7,11573.0,1.0
106,What Not to Wear,https://en.wikipedia.org/wiki/What_Not_to_Wear_(UK_TV_series),What Not to Wear,https://en.wikipedia.org/wiki/What_Not_to_Wear_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0343320/'},{'https://www.imdb.com/title/tt0393009/'},5.8,203.0,3.0,6.8,1762.0,12.0
107,White Van Man,https://en.wikipedia.org/wiki/White_Van_Man_(TV_series),Family Tools,https://en.wikipedia.org/wiki/Family_Tools,United Kingdom,United States,{'https://www.imdb.com/title/tt1711422/'},{'https://www.imdb.com/title/tt2245283/'},6.9,539.0,2.0,5.5,617.0,1.0
108,Who Do You Think You Are?,https://en.wikipedia.org/wiki/Who_Do_You_Think_You_Are%3F_(UK_TV_series),Who Do You Think You Are?,https://en.wikipedia.org/wiki/Who_Do_You_Think_You_Are%3F_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0429466/'},{'https://www.imdb.com/title/tt1365047/'},8.0,937.0,17.0,8.1,1283.0,12.0
109,Who Wants to Be a Millionaire?,https://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire%3F_(UK_game_show),Who Wants to Be a Millionaire,https://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire_(U.S._game_show),United Kingdom,United States,"{'https://www.imdb.com/title/tt0166064/', 'https://www.imdb.com/title/tt0370060/'}","{'https://www.imdb.com/title/tt0321019/', 'https://www.imdb.com/title/tt0412256/', 'https://www.imdb.com/title/tt0211178/'}",7.05,1007.0,,6.433333333333334,1618.3333333333333,8.0
110,Who Wants to Be a Millionaire? (UK game show),https://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire%3F_(UK_game_show),Who Wants to Be a Millionaire (US game show),https://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire_(US_game_show),United Kingdom,United States,"{'https://www.imdb.com/title/tt0166064/', 'https://www.imdb.com/title/tt0370060/'}","{'https://www.imdb.com/title/tt0321019/', 'https://www.imdb.com/title/tt0412256/', 'https://www.imdb.com/title/tt0211178/'}",7.05,1007.0,,6.433333333333334,1618.3333333333333,8.0
111,Whose Line Is It Anyway?,https://en.wikipedia.org/wiki/Whose_Line_Is_It_Anyway%3F_(UK_TV_series),Whose Line Is It Anyway?,https://en.wikipedia.org/wiki/Whose_Line_Is_It_Anyway%3F_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0094580/'},{'https://www.imdb.com/title/tt0163507/'},8.2,5374.0,10.0,8.5,40794.0,8.0
112,Wild at Heart,https://en.wikipedia.org/wiki/Wild_at_Heart_(UK_TV_series),Life Is Wild,https://en.wikipedia.org/wiki/Life_Is_Wild,United Kingdom,United States,{'https://www.imdb.com/title/tt0757127/'},{'https://www.imdb.com/title/tt0938853/'},7.4,1300.0,8.0,6.8,501.0,1.0
113,Wilfred (Australian TV series),https://en.wikipedia.org/wiki/Wilfred_(Australian_TV_series),Wilfred (U.S. TV series),https://en.wikipedia.org/wiki/Wilfred_(U.S._TV_series),Australia,United States,{'https://www.imdb.com/title/tt0899203/'},{'https://www.imdb.com/title/tt1703925/'},7.9,2828.0,2.0,7.8,40552.0,4.0
114,"Yo soy Betty, la fea","https://en.wikipedia.org/wiki/Yo_soy_Betty,_la_fea",Ugly Betty,https://en.wikipedia.org/wiki/Ugly_Betty,Colombia,United States,{'https://www.imdb.com/title/tt0233127/'},{'https://www.imdb.com/title/tt0805669/'},8.2,2733.0,1.0,6.5,41229.0,4.0
115,Øyevitne,https://en.wikipedia.org/wiki/%C3%98yevitne,Eyewitness (U.S. TV series),https://en.wikipedia.org/wiki/Eyewitness_(U.S._TV_series),Norway,United States,{'https://www.imdb.com/title/tt2750688/'},{'https://www.imdb.com/title/tt5369352/'},7.4,1543.0,1.0,7.7,4876.0,1.0
